,country,continent
0,Afghanistan,Asia
1,Albania,Europe
2,Algeria,Africa
3,Angola,Africa
4,Argentina,Americas
5,Australia,Oceania
6,Austria,Europe
7,Bahrain,Asia
8,Bangladesh,Asia
9,Belgium,Europe
10,Benin,Africa
11,Bolivia,Americas
12,Bosnia and Herzegovina,Europe
13,Botswana,Africa
14,Brazil,Americas
15,Bulgaria,Europe
16,Burkina Faso,Africa
17,Burundi,Africa
18,Cambodia,Asia
19,Cameroon,Africa
20,Canada,Americas
21,Central African Republic,Africa
22,Chad,Africa
23,Chile,Americas
24,China,Asia
25,Colombia,Americas
26,Comoros,Africa
27,"Congo, Dem. Rep.",Africa
28,"Congo, Rep.",Africa
29,Costa Rica,Americas
30,Cote d'Ivoire,Africa
31,Croatia,Europe
32,Cuba,Americas
33,Czech Republic,Europe
34,Denmark,Europe
35,Djibouti,Africa
36,Dominican Republic,Americas
37,Ecuador,Americas
38,Egypt,Africa
39,El Salvador,Americas
40,Equatorial Guinea,Africa
41,Eritrea,Africa
42,Ethiopia,Africa
43,Finland,Europe
44,France,Europe
45,Gabon,Africa
46,Gambia,Africa
47,Germany,Europe
48,Ghana,Africa
49,Greece,Europe
50,Guatemala,Americas
51,Guinea,Africa
52,Guinea-Bissau,Africa
53,Haiti,Americas
54,Honduras,Americas
55,"Hong Kong, China",Asia
56,Hungary,Europe
57,Iceland,Europe
58,India,Asia
59,Indonesia,Asia
60,Iran,Asia
61,Iraq,Asia
62,Ireland,Europe
63,Israel,Asia
64,Italy,Europe
65,Jamaica,Americas
66,Japan,Asia
67,Jordan,Asia
68,Kenya,Africa
69,"Korea, Dem. Rep.",Asia
70,"Korea, Rep.",Asia
71,Kuwait,Asia
72,Lebanon,Asia
73,Lesotho,Africa
74,Liberia,Africa
75,Libya,Africa
76,Madagascar,Africa
77,Malawi,Africa
78,Malaysia,Asia
79,Mali,Africa
80,Mauritania,Africa
81,Mauritius,Africa
82,Mexico,Americas
83,Mongolia,Asia
84,Montenegro,Europe
85,Morocco,Africa
86,Mozambique,Africa
87,Myanmar,Asia
88,Namibia,Africa
89,Nepal,Asia
90,Netherlands,Europe
91,New Zealand,Oceania
92,Nicaragua,Americas
93,Niger,Africa
94,Nigeria,Africa
95,Norway,Europe
96,Oman,Asia
97,Pakistan,Asia
98,Panama,Americas
99,Paraguay,Americas
100,Peru,Americas
101,Philippines,Asia
102,Poland,Europe
103,Portugal,Europe
104,Puerto Rico,Americas
105,Reunion,Africa
106,Romania,Europe
107,Rwanda,Africa
108,Sao Tome and Principe,Africa
109,Saudi Arabia,Asia
110,Senegal,Africa
111,Serbia,Europe
112,Sierra Leone,Africa
113,Singapore,Asia
114,Slovak Republic,Europe
115,Slovenia,Europe
116,Somalia,Africa
117,South Africa,Africa
118,Spain,Europe
119,Sri Lanka,Asia
120,Sudan,Africa
121,Swaziland,Africa
122,Sweden,Europe
123,Switzerland,Europe
124,Syria,Asia
125,Taiwan,Asia
126,Tanzania,Africa
127,Thailand,Asia
128,Togo,Africa
129,Trinidad and Tobago,Americas
130,Tunisia,Africa
131,Turkey,Europe
132,Uganda,Africa
133,United Kingdom,Europe
134,United States,Americas
135,Uruguay,Americas
136,Venezuela,Americas
137,Vietnam,Asia
138,West Bank and Gaza,Asia
139,"Yemen, Rep.",Asia
140,Zambia,Africa
141,Zimbabwe,Africa
